AverageAge,Club,Foreigners,Points,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,AveragePoints,Predicted Points
28,Juventus FC,10,90,90,90,66.61,90,90,90,90,90,90,60.83,65.34,65.66,90,90,90,90,90,67.22,64.02,68.51,81.4095,81
26.8,SSC Napoli,11,79,67.61,79,79,70.21,72.61,75.1,79,62.41,70.74,79,79,79,74.92,74.44,70.5,69.73,79,79,79,79,74.9135,75
26.4,Atalanta BC,11,69,64.67,69,69,68.94,69,69,69,59.2,68.26,58.92,69,61.93,69,69,69,69,69,69,64.75,69,67.1835,67
27.7,Inter Milan,11,69,69,77.94,69,73.06,75.72,69,78.63,69.64,76.32,63.71,69,69,69,78.65,71.86,69,84.93,72.5,68.96,73.22,72.407,72
24.8,AC Milan,9,68,43.71,36.69,40.64,68,68,68,68,34.88,44.13,45.05,39.95,40.58,68,68,68,68,37.37,34.81,47.75,68,52.878,53
27.4,AS Roma,10,66,66,66,62.76,66,66,66,66,61.5,67.36,58.62,61.79,66,66.62,66,62.53,66,66,66,66,66.02,64.96,65
27.5,Torino FC,7,63,63,44.39,63,38.2,41.19,63,63,63,63,63,63,63,42.03,63,36.06,45.66,63,40.51,63,63,55.352,55
27.8,SS Lazio,10,59,70.38,70.86,59,64.82,67.6,71.89,59,59,69.84,60.1,64.16,59,66.55,59,59,66.84,79.43,65.67,59,67.68,64.941,65
26,UC Sampdoria,8,53,53,39.23,53,53,44.47,53,53,38.79,53,53,53,41.91,53,46.57,42.67,46.66,53,36.5,45.72,48.33,48.0425,48
26.9,Bologna FC 1909,9,44,59.16,44,54.12,44,44,60.75,62.62,44,57.15,44,52.38,53.18,44,58.82,44,56.75,62.13,44,44,44,50.853,51
25.2,US Sassuolo,7,43,43,43,32.35,30.9,33.25,38.89,42.99,26.64,43,43,29.41,31.24,43,34.79,43,36.94,43,22.69,37.22,43,37.0655,37
25.2,Udinese Calcio,11,43,43,43,43,43,67.09,68.41,68.58,43,43,54.49,43,54.73,75.2,66.95,68.08,63.66,55.45,43,60.86,43,54.525,55
27.8,SPAL,5,42,42,31.11,38.17,22.04,42,34.99,40.65,36,42,42,31.91,35.09,42,30.87,18.77,42,42,27.61,42,42,36.2605,36
29.3,Parma Calcio 1913,5,41,58.44,41,41,26.8,30.48,41,46.68,41,41,41,41,41,25.32,37.89,21.04,41,63.69,41,41,41,40.117,40
27.8,Cagliari Calcio,7,41,41,41,41,41,42.22,49.75,41,41,41,41,41,41,41.97,41,36.52,46.8,59.37,42.84,41,49.82,43.0645,43
24,ACF Fiorentina,9,41,41,29.7,35.51,44.2,41,48.64,41,41,39.16,42.1,35.21,41,59.04,41,41,41,27.93,41,41,46.01,40.875,41
25.8,Genoa CFC,10,38,55.66,53.38,38,58.47,60.7,63.54,64.6,38,57.43,38,38,38,66.91,61.72,38,38,38,38,56.9,59.41,50.036,50
26.4,FC Empoli,9,38,55.48,38,50.91,38,38,38,60.61,38,54.05,38,49.42,38,58.61,38,52.15,54.85,56.23,38,52.93,55.94,47.159,47
28.2,Chievo Verona,7,25,59.53,50.5,51.6,25,25,51.42,55.05,50.74,25,49.63,25,49.23,25,48.83,25,25,64.09,45.94,25,51.48,41.402,41
26.3,Frosinone Calcio,5,17,36.36,18,28.55,17,17,17,34.61,24.02,17,34.64,23.03,26.09,17,17,17,27.75,17,17,28.96,17,22.6005,23
